Word,Number in hard mode,syllable,frequency,tag
slump,1362,1,5078,8
crank,1763,1,3506,8
gorge,1913,1,2019,8
query,2242,2,2587,8
drink,3017,1,54651,13
favor,3073,2,32769,8
abbey,3345,2,1335,8
tangy,3985,0,628,8
panic,4655,2,9872,4
solar,4955,2,13251,4
shire,5640,1,164,8
proxy,6206,2,1933,8
point,7094,1,262772,8
robot,6589,2,6897,8
prick,7409,1,1565,4
wince,6850,1,2611,8
crimp,7630,1,562,8
knoll,8317,1,719,8
sugar,8708,2,28497,8
whack,10163,1,2011,8
mount,11451,1,11575,8
perky,11148,2,473,8
could,11592,1,669783,7
wrung,11524,1,0,13
light,13347,1,148037,4
those,13606,1,410262,1
moist,14205,1,3364,4
shard,14609,1,1495,4
pleat,14813,1,368,8
aloft,13708,2,1096,11
skill,13716,1,55280,4
elder,13340,2,9605,8
frame,15369,1,29434,8
humor,13846,2,11074,8
pause,13480,1,22386,8
ulcer,10631,2,1693,4
ultra,9310,2,959,4
robin,3249,2,6843,8
cynic,10343,2,704,4
aroma,10343,3,2323,8
caulk,10740,1,433,9
shake,12767,1,51166,17
dodge,10220,1,3126,8
swill,11241,1,210,8
tacit,11094,2,886,18
other,10887,2,663078,4
thorn,11814,1,1989,4
trove,11411,1,622,3
bloke,10405,1,272,8
vivid,11687,2,4359,8
spill,10087,1,11458,8
chant,10438,1,4727,4
choke,10521,1,5854,14
rupee,10577,2,0,4
nasty,10813,2,6185,4
mourn,10465,1,3051,8
ahead,9396,2,56643,11
brine,10405,1,796,4
cloth,9911,1,8899,0
hoard,9823,1,1175,4
sweet,9767,1,28899,4
month,9435,1,177639,8
lapse,9960,1,2439,8
watch,12400,1,151340,8
today,9353,2,199257,8
focus,8937,2,93375,13
smelt,9373,1,342,4
tease,10024,1,5053,8
cater,11234,2,3012,8
movie,8847,2,74861,8
saute,9304,2,0,8
allow,8515,2,124739,17
renew,8417,2,4402,13
their,9200,1,1170105,10
slosh,8807,1,742,4
purge,8555,1,1838,8
chest,9318,1,24493,6
depot,8562,2,2991,8
epoxy,9376,3,649,4
nymph,9935,1,700,8
