Word,letter occupancy,frequency,class,difficult,label
there,0.659192825,1,0.142857143,0.147 ,0
their,0.458893871,0.970036037,0,0.160 ,0
those,0.734429497,0.340113857,0,0.237 ,0
could,0.61385152,0.555260978,0.285714286,0.240 ,0
other,0.293472845,0.549702425,0,0.250 ,0
money,0.83507723,0.148024993,0,0.259 ,0
today,0.688091679,0.165187287,0,0.272 ,0
point,0.753363229,0.217842253,0.285714286,0.282 ,0
drive,0.691579472,0.096015002,0,0.284 ,0
plant,0.697558545,0.06814016,0,0.288 ,0
movie,0.652715496,0.062060984,0,0.294 ,0
shine,0.96163428,0.009625707,0.285714286,0.295 ,0
class,0.582959641,0.081967322,0,0.298 ,0
black,0.587942202,0.155071631,0.142857143,0.298 ,0
sweet,0.774289985,0.02395774,0.142857143,0.300 ,0
month,0.459392128,0.147265614,0,0.300 ,0
leave,0.683607374,0.22042381,0.428571429,0.303 ,0
sugar,0.626307922,0.023624476,0,0.303 ,0
watch,0.458395615,0.125463316,0,0.304 ,0
story,0.782760339,0.148251315,0.428571429,0.304 ,0
shall,0.733931241,0.014076696,0.142857143,0.306 ,0
drink,0.546586946,0.045306566,0,0.308 ,0
prize,0.714000997,0.010600631,0.142857143,0.309 ,0
floor,0.520179372,0.056099528,0,0.309 ,0
clean,0.539113104,0.039255577,0,0.310 ,0
shake,0.890383657,0.042417444,0.428571429,0.310 ,0
study,0.64573991,0.197929283,0.428571429,0.311 ,0
begin,0.395615346,0.2019011,0.142857143,0.311 ,0
rainy,0.818136522,0.002240831,0.285714286,0.312 ,0
brave,0.803188839,0.00645472,0.285714286,0.313 ,0
happy,0.496263079,0.047113821,0,0.313 ,0
carry,0.815146986,0.070977054,0.428571429,0.314 ,0
twice,0.647732935,0.023586341,0.142857143,0.314 ,0
glass,0.485301445,0.046438173,0,0.315 ,1
being,0.501743896,0.019316907,0,0.317 ,1
saint,0.980568012,0.010145501,0.571428571,0.319 ,1
night,0.256601893,0.164648427,0,0.319 ,1
tease,0.864972596,0.004189019,0.428571429,0.320 ,1
pause,0.83507723,0.018558357,0.428571429,0.321 ,1
photo,0.377678127,0.080104522,0,0.321 ,1
light,0.300946687,0.122725076,0,0.322 ,1
third,0.506228201,0.060405439,0.142857143,0.323 ,1
catch,0.586447434,0.06708648,0.285714286,0.326 ,1
baker,0.664673642,0.011650165,0.285714286,0.327 ,1
shame,0.908819133,0.007815965,0.571428571,0.327 ,1
solar,0.779770802,0.010985294,0.428571429,0.328 ,1
waste,0.635276532,0.026044374,0.285714286,0.328 ,1
foggy,0.554060787,0.000875441,0.142857143,0.328 ,1
stick,0.609865471,0.039638582,0.285714286,0.328 ,1
stale,0.908320877,0.001386115,0.571428571,0.329 ,1
spell,0.527154958,0.008720422,0.142857143,0.330 ,1
scare,0.877927255,0.008060525,0.571428571,0.331 ,1
float,0.621325361,0.011426331,0.285714286,0.332 ,1
skill,0.567015446,0.045828017,0.285714286,0.332 ,1
cheek,0.606377678,0.012062186,0.285714286,0.333 ,1
