Word,letter occupancy,frequency,class,difficult,label
there,0.659192825,1,0.142857143,0.147 ,A
their,0.458893871,0.970036037,0,0.160 ,A
those,0.734429497,0.340113857,0,0.237 ,A
could,0.61385152,0.555260978,0.285714286,0.240 ,A
other,0.293472845,0.549702425,0,0.250 ,A
money,0.83507723,0.148024993,0,0.259 ,A
today,0.688091679,0.165187287,0,0.272 ,A
point,0.753363229,0.217842253,0.285714286,0.282 ,A
drive,0.691579472,0.096015002,0,0.284 ,A
plant,0.697558545,0.06814016,0,0.288 ,A
movie,0.652715496,0.062060984,0,0.294 ,A
shine,0.96163428,0.009625707,0.285714286,0.295 ,A
class,0.582959641,0.081967322,0,0.298 ,A
black,0.587942202,0.155071631,0.142857143,0.298 ,A
sweet,0.774289985,0.02395774,0.142857143,0.300 ,A
month,0.459392128,0.147265614,0,0.300 ,A
leave,0.683607374,0.22042381,0.428571429,0.303 ,A
sugar,0.626307922,0.023624476,0,0.303 ,A
watch,0.458395615,0.125463316,0,0.304 ,A
story,0.782760339,0.148251315,0.428571429,0.304 ,A
shall,0.733931241,0.014076696,0.142857143,0.306 ,A
drink,0.546586946,0.045306566,0,0.308 ,A
prize,0.714000997,0.010600631,0.142857143,0.309 ,A
floor,0.520179372,0.056099528,0,0.309 ,A
clean,0.539113104,0.039255577,0,0.310 ,A
shake,0.890383657,0.042417444,0.428571429,0.310 ,A
study,0.64573991,0.197929283,0.428571429,0.311 ,A
begin,0.395615346,0.2019011,0.142857143,0.311 ,A
rainy,0.818136522,0.002240831,0.285714286,0.312 ,A
brave,0.803188839,0.00645472,0.285714286,0.313 ,A
happy,0.496263079,0.047113821,0,0.313 ,A
carry,0.815146986,0.070977054,0.428571429,0.314 ,A
twice,0.647732935,0.023586341,0.142857143,0.314 ,A
glass,0.485301445,0.046438173,0,0.315 ,B1
being,0.501743896,0.019316907,0,0.317 ,B1
saint,0.980568012,0.010145501,0.571428571,0.319 ,B1
night,0.256601893,0.164648427,0,0.319 ,B1
tease,0.864972596,0.004189019,0.428571429,0.320 ,B1
pause,0.83507723,0.018558357,0.428571429,0.321 ,B1
photo,0.377678127,0.080104522,0,0.321 ,B1
light,0.300946687,0.122725076,0,0.322 ,B1
third,0.506228201,0.060405439,0.142857143,0.323 ,B1
catch,0.586447434,0.06708648,0.285714286,0.326 ,B1
baker,0.664673642,0.011650165,0.285714286,0.327 ,B1
shame,0.908819133,0.007815965,0.571428571,0.327 ,B1
solar,0.779770802,0.010985294,0.428571429,0.328 ,B1
waste,0.635276532,0.026044374,0.285714286,0.328 ,B1
foggy,0.554060787,0.000875441,0.142857143,0.328 ,B1
stick,0.609865471,0.039638582,0.285714286,0.328 ,B1
stale,0.908320877,0.001386115,0.571428571,0.329 ,B1
spell,0.527154958,0.008720422,0.142857143,0.330 ,B1
scare,0.877927255,0.008060525,0.571428571,0.331 ,B1
float,0.621325361,0.011426331,0.285714286,0.332 ,B1
skill,0.567015446,0.045828017,0.285714286,0.332 ,B1
cheek,0.606377678,0.012062186,0.285714286,0.333 ,B1
spill,0.606377678,0.009498868,0.285714286,0.334 ,B1
spoke,0.736422521,0.000737824,0.428571429,0.334 ,B1
brisk,0.614349776,0.001549431,0.285714286,0.334 ,B1
chest,0.583457897,0.020305095,0.285714286,0.335 ,B1
label,0.581963129,0.018393383,0.285714286,0.335 ,B1
smelt,0.601395117,0.000283524,0.285714286,0.336 ,B1
dream,0.406576981,0.04698864,0.142857143,0.336 ,B1
peach,0.589436971,0.003864874,0.285714286,0.337 ,B1
olive,0.579471849,0.004096998,0.285714286,0.338 ,B1
power,0.619332337,0.131593891,0.571428571,0.338 ,B1
treat,0.642252118,0.039475266,0.428571429,0.338 ,B1
badge,0.694569008,0.002611401,0.428571429,0.339 ,B1
train,0.627802691,0.041026355,0.428571429,0.339 ,B1
alike,0.680617838,0.006077518,0.428571429,0.339 ,B1
clown,0.440956652,0.002771401,0.142857143,0.340 ,B1
chief,0.60737419,0.048467605,0.428571429,0.340 ,B1
angry,0.408071749,0.01928126,0.142857143,0.341 ,B1
cater,0.788739412,0.002496997,0.571428571,0.341 ,B1
voice,0.776283009,0.086179553,0.714285714,0.342 ,B1
nasty,0.541604385,0.005127465,0.285714286,0.342 ,B1
fault,0.642252118,0.010821149,0.428571429,0.343 ,B1
slate,1,0.003771195,0.857142857,0.344 ,B2
upset,0.375685102,0.013402705,0.142857143,0.345 , B2
flood,0.493273543,0.012239596,0.285714286,0.346 ,B2
ahead,0.437967115,0.046957966,0.285714286,0.346 ,B2
judge,0.420528151,0.056462637,0.285714286,0.346 ,B2
