Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
2022/1/7,202,slump,80630,1362,1,3,23,39,24,9,1
2022/1/8,203,crank,101503,1763,1,5,23,31,24,14,2
2022/1/9,204,gorge,91477,1913,1,3,13,27,30,22,4
2022/1/10,205,query,107134,2242,1,4,16,30,30,17,2
2022/1/11,206,drink,153880,3017,1,9,35,34,16,5,1
2022/1/12,207,favor,137586,3073,1,4,15,26,29,21,4
2022/1/13,208,abbey,132726,3345,1,2,13,29,31,20,3
2022/1/14,209,tangy,169484,3985,1,4,21,30,24,15,5
2022/1/15,210,panic,205880,4655,1,9,35,34,16,5,1
2022/1/16,211,solar,209609,4955,1,9,32,32,18,7,1
2022/1/17,212,shire,222197,5640,1,8,32,32,18,8,2
2022/1/18,213,proxy,220950,6206,1,2,11,24,31,26,6
2022/1/19,214,point,280622,7094,1,16,37,28,12,4,1
2022/1/20,215,robot,243964,6589,1,8,29,34,20,8,1
2022/1/21,216,prick,273727,7409,1,8,30,33,19,7,1
2022/1/22,217,wince,241489,6850,1,3,17,33,29,15,3
2022/1/23,218,crimp,269929,7630,1,5,28,38,20,7,1
2022/1/24,219,knoll,258038,8317,1,1,11,29,33,21,4
2022/1/25,220,sugar,276404,8708,1,6,25,34,23,9,1
2022/1/26,221,whack,302348,10163,1,4,22,37,24,10,2
2022/1/27,222,mount,331844,11451,1,9,29,33,19,7,1
2022/1/28,223,perky,296968,11148,1,4,17,30,27,17,4
2022/1/29,224,could,313220,11592,1,7,29,35,20,8,1
2022/1/30,225,wrung,294687,11524,0,2,18,39,27,12,2
2022/1/31,226,light,341314,13347,1,10,25,27,19,12,5
2022/2/1,227,those,351663,13606,1,13,34,30,15,6,1
2022/2/2,228,moist,361908,14205,3,13,32,29,16,7,1
2022/2/3,229,shard,358176,14609,1,7,22,28,25,14,4
2022/2/4,230,pleat,359679,14813,1,10,28,31,19,9,2
2022/2/5,231,aloft,319698,13708,1,4,22,36,25,11,2
2022/2/6,232,skill,311018,13716,1,3,17,33,27,16,3
2022/2/7,233,elder,288228,13340,1,3,13,24,30,24,5
2022/2/8,234,frame,336236,15369,1,10,20,24,24,17,3
2022/2/9,235,humor,305372,13846,1,5,22,34,25,11,2
2022/2/10,236,pause,304830,13480,1,8,26,32,21,10,2
2022/2/11,237,ulcer,278826,10631,1,4,18,30,28,16,3
2022/2/12,238,ultra,269885,9310,1,7,23,34,24,10,1
2022/2/13,239,robin,277471,3249,1,6,29,34,21,8,1
2022/2/14,240,cynic,261521,10343,1,6,25,33,22,11,2
2022/2/15,241,aroma,287836,10343,1,6,25,33,22,11,2
2022/2/16,242,caulk,289721,10740,1,4,20,31,26,15,3
2022/2/17,243,shake,342003,12767,1,6,16,23,24,21,9
2022/2/18,244,dodge,265238,10220,1,3,15,29,27,19,7
2022/2/19,245,swill,282327,11241,1,1,8,19,31,30,10
2022/2/20,246,tacit,273306,11094,1,4,21,32,26,14,3
2022/2/21,247,other,278731,10887,1,9,26,30,21,10,2
2022/2/22,248,thorn,306356,11814,1,14,38,30,12,4,0
2022/2/23,249,trove,277576,11411,1,5,16,24,25,22,8
2022/2/24,250,bloke,250674,10405,1,6,21,32,25,12,2
2022/2/25,251,vivid,255907,11687,1,2,10,29,33,21,4
2022/2/26,252,spill,248363,10087,1,5,26,34,22,10,2
2022/2/27,253,chant,250413,10438,1,9,33,33,16,7,1
2022/2/28,254,choke,251094,10521,1,8,30,36,18,6,1
2022/3/1,255,rupee,240137,10577,1,2,17,35,30,13,2
2022/3/2,256,nasty,257304,10813,1,7,26,31,21,11,2
2022/3/3,257,mourn,240018,10465,1,8,29,34,19,8,1
2022/3/4,258,ahead,203730,9396,1,5,20,35,26,12,2
2022/3/5,259,brine,229895,10405,1,9,25,29,22,12,3
2022/3/6,260,cloth,218595,9911,1,8,33,34,17,7,1
2022/3/7,261,hoard,218595,9823,1,9,30,34,19,7,1
2022/3/8,262,sweet,207473,9767,1,5,18,31,28,15,2
2022/3/9,263,month,201799,9435,1,5,26,37,22,8,1
2022/3/10,264,lapse,208884,9960,0,8,31,34,19,7,1
2022/3/11,265,watch,226349,12400,1,6,14,18,17,24,20
2022/3/12,266,today,192049,9353,1,7,29,35,20,7,1
2022/3/13,267,focus,179436,8937,1,4,23,36,24,10,1
2022/3/14,268,smelt,185406,9373,0,5,19,33,28,13,2
2022/3/15,269,tease,202855,10024,1,16,32,30,16,6,1
2022/3/16,270,cater,217856,11234,1,7,19,22,19,18,15
2022/3/17,271,movie,169071,8847,1,5,18,30,26,16,3
2022/3/18,272,saute,179830,9304,1,8,31,34,19,6,1
2022/3/19,273,allow,156311,8515,0,5,21,32,26,14,3
2022/3/20,274,renew,154987,8417,0,4,20,33,27,13,2
2022/3/21,275,their,173636,9200,2,14,36,30,13,4,0
2022/3/22,276,slosh,160161,8807,0,2,19,36,27,13,2
2022/3/23,277,purge,156785,8555,1,4,22,35,26,11,2
2022/3/24,278,chest,169066,9318,1,14,35,31,14,5,1
2022/3/25,279,depot,150197,8562,0,5,29,36,20,7,1
2022/3/26,280,epoxy,149507,9376,0,2,13,31,33,18,3
2022/3/27,281,nymph,165468,9935,1,2,18,44,26,26,9
2022/3/28,282,found,173696,10613,1,6,17,22,20,21,14
2022/3/29,283,shall,149070,8494,0,3,17,30,28,17,4
2022/3/30,284,stove,158139,9318,0,5,16,24,27,21,6
2022/3/31,285,lowly,135219,8469,0,2,9,26,32,24,8
2022/4/1,286,snout,144648,8913,1,4,19,27,26,18,5
2022/4/2,287,trope,155079,9315,1,16,33,28,15,6,1
2022/4/3,288,fewer,124532,7931,0,2,10,24,32,26,6
2022/4/4,289,shawl,129651,7943,0,3,16,31,30,16,3
2022/4/5,290,natal,121356,7702,0,2,14,32,32,17,3
2022/4/6,291,comma,117856,7560,0,2,13,33,33,17,3
2022/4/7,292,foray,117761,7575,0,2,14,31,31,19,4
2022/4/8,293,scare,141158,9010,1,12,23,26,21,13,4
2022/4/9,294,stair,134210,8537,2,21,36,26,11,4,1
2022/4/10,295,black,126241,7894,1,10,31,34,18,6,1
2022/4/11,296,squad,109828,7236,0,3,20,33,27,14,2
2022/4/12,297,royal,114907,7275,1,5,24,36,23,9,1
2022/4/13,298,chunk,123255,7835,1,4,29,42,18,5,1
2022/4/14,299,mince,113448,7356,0,6,24,35,24,10,1
2022/4/15,300,shame,129991,8522,1,11,22,25,21,15,5
2022/4/16,301,cheek,107987,7035,0,3,19,40,28,9,1
2022/4/17,302,ample,106681,7008,0,4,20,35,27,11,2
2022/4/18,303,flair,112383,7341,1,8,30,36,18,6,1
2022/4/19,304,foyer,108899,8198,0,2,10,19,19,23,26
2022/4/20,305,cargo,102007,6796,0,5,20,34,27,12,2
2022/4/21,306,oxide,97955,6960,0,2,11,30,33,21,4
2022/4/22,307,plant,119232,7731,2,19,39,28,10,3,0
2022/4/23,308,olive,95562,6482,1,6,25,34,23,10,1
2022/4/24,309,inert,97452,6743,0,7,27,34,22,9,1
2022/4/25,310,askew,91548,6549,0,3,13,29,32,19,4
2022/4/26,311,heist,103153,6830,1,13,32,31,16,6,1
2022/4/27,312,shown,98967,6564,0,6,26,36,22,8,1
2022/4/28,313,zesty,88974,6315,0,2,12,27,30,22,7
2022/4/29,314,trash,106652,7001,2,19,34,27,13,4,1
2022/4/30,315,larva,77991,5749,0,2,10,25,35,23,4
2022/5/1,316,forgo,77658,5699,0,1,9,26,37,23,3
2022/5/2,317,story,95643,6530,1,10,23,29,24,11,2
2022/5/3,318,hairy,85817,5941,1,8,24,33,23,10,1
2022/5/4,319,train,107750,7243,6,26,32,22,10,3,0
2022/5/5,320,homer,85979,6313,0,3,16,26,24,19,12
2022/5/6,321,badge,76292,5482,0,4,20,35,26,12,2
2022/5/7,322,midst,74458,5233,0,3,25,39,24,9,1
2022/5/8,323,canny,72518,5256,0,2,10,30,34,20,4
2022/5/9,324,shine,88932,6146,1,14,32,30,17,6,1
2022/5/10,325,gecko,74412,5489,0,2,16,38,29,12,2
2022/5/11,326,farce,79446,5688,0,9,26,32,21,9,1
2022/5/12,327,slung,75673,5419,0,2,16,37,31,13,2
2022/5/13,328,tipsy,77585,5522,0,6,33,38,17,5,1
2022/5/14,329,metal,73225,5290,1,10,31,34,18,7,1
2022/5/15,330,yield,67115,4963,0,4,16,29,29,18,4
2022/5/16,331,delve,68349,5179,0,2,14,32,33,16,2
2022/5/17,332,being,70722,5142,0,4,22,37,26,10,1
